구분,,,,,,Crude,,,,,,,,,LPG,,,,WSR,,,LSR,,,,,,,,HSR,,,,,Kero,,,,,,,LKD,HKD,,Diesel,,,,,,,RC,,,,,,,,,,,,,,,,,,LLVGO,,,,,LVGO,,,,,,,,,,,,,,,,,,HVGO,,,,,,,,,,,,,,,,,,HHVGO,,,,,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFCC Max Blending Ratio,,,,,,,,,HCR Feed VGO,,,,,,,,,,,,,HCR Feed Max Blending Ratio,,,,,,,,,,VRHCR Max Blending Ratio,,,,,,,,,
Assay ID,Feedstock,채취일,공식Assay 여부,Feedstock코드,Origin,API,Sulfur wt. %,Fe ppm,P/P ℃,Nitrogen ppm,Mercaptan ppm,TAN mg KOH/g,Cl ppm,Salt PTB,Yield vol. %,SG,RVP psi,Mercaptan ppm,Yield %,SG,N+2A %,Yield %,SG,N-Paraffines %,I-Paraffines %,Olefines %,Naphthenes %,Aromatics %,CS2 wtppm,Yield %,S.G,N+2A %,Naphthenes %,Nitrogen ppm,Yield %,S.G,Sulfur %,Freeze Point ℃,Aromatics %,Smoke Point mm,Mercaptan ppm,Yield %,Yield %,Freeze Point ℃,Yield %,S.G,Sulfur %,C/P ℃,P/P ℃,Cetane Index,TAN mg KOH/g,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,V(50) cSt.,N+2A %,Ni+V ppm,Ni ppm,V ppm,Fe ppm,MCRT wt. %,TAN mg KOH/g,Na ppm,Copper ppm,ASP(C7) wt. %,UOPK,Yield %,S.G,Sulfur %,Nitrogen ppm,V(50) cSt.,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,MCRT wt. %,VK,V(40) cSt.,V(50) cSt.,V(100) cSt.,VI,TAN mg KOH/g,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,VK,MCRT %,V(40) cSt.,V(50) cSt.,V(100) cSt.,VI,TAN mg KOH/g,Yield %,S.G,Sulfur %,Nitrogen ppm,P/P ℃,MCRT wt. %,V(50) cSt.,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,MCRT wt. %,Ni+V ppm,Ni ppm,V ppm,SEDEX,TAN mg KOH/g,Na ppm,Copper ppm,Fe ppm,Ca ppm,Mg ppm,Ca+Mg+Fe ppm,Parrafines %,Aromatics %,ASP(C7) wt. %,Resin %,CII (SARA),V(50) cSt.,V(70) cSt.,V(100) cSt.,V(110) cSt.,VR/AR %,MCRT/S Ratio,S/N Ratio,SARA Saturates wt. %,SARA Asphaltene wt. %,SARA Resin wt. %,SARA Aromatics wt. %,API,Sulfur %,Nitrogen ppm,MCRT %,V(50) (Feed 85kbd) cSt.,UOPK,Ni+V ppm,Na ppm,Fe ppm,API,Sulfur wt. %,Nitrogen ppm,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,V(100) cSt.,MCRT wt. %,VI,VK Factor,TAN mg KOH/g,Sulfur %,Nitrogen (단기) %,Nitrogen (장기) %,Ni+V %,Fe %,ASP(C7) %,V(100) %,MCRT %,VI %,TAN %,Sulfur %,Nitrogen %,MCRT %,Ni+V %,Fe %,Na %,ASP(C7) %,CII (SARA) %,SEDEX %,V(100) %
AHY-T13,Arabian Heavy,2014-05-08,Y,case011,Saudi Arabia,27,3.1,0.7,-46.9,1293,86.3,0.18,,,2.1,0.556,63,0,14.2,0.704,26.4,5.6,0.662,46.9,47.1,0,5.2,0.9,,8.6,0.73,38.9,21.7,0,13.9,0.785,0.2,-43.6,14.3,25.2,48.9,7.2,6.7,-35.3,21.3,0.859,2,-1.8,-0.9,52.7,0.1,48.6,9.7,1.002,4.9,2336,36.3,4387,121.6,98.4,24.4,74.1,1.3,15.1,0.22,0,0,10.3,11.5,3.2,0.909,3.2,384,12.1,6.2,21.8,0.923,3,601,25.8,0,0,0,0,0,0,3.9,41,26.3,5.8,76.5,0.3,15.3,16.9,0.953,3.8,1214,41.5,0.8,0.3,0.5,0,0.7,3.7,1.4,325.9,169.1,18.7,48.8,0.3,0.7,0.984,4.6,1795,49.6,5.5,1447,23.1,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4915.375738,2438,25.3,29.2,0.5,,,,,17.5,22.5,52,10.5,9.7,,12.9,,,17.9,3.6,1091,0.7,0.2,0.4,0,0.6,16.1,1.1,54.3,3.7,0.3,68.2,,,66.5,,,,37.7,46.8,,74.1,,72.8,,,,48.7,,,20.8
ALT-T13-PIONAn,Arabian Light,2019-07-11,Y,case012,Saudi Arabia,32.8,1.9,0.9,-57.2,788,60.4,0.13,,,2.5,0.574,45.9,0,17.4,0.708,31.8,7.5,0.666,47.9,41.7,0,8.8,1.6,,9.9,0.739,46.8,22.2,0,16.4,0.788,0.1,-45.2,17.3,26.9,95.4,8.8,7.6,-36.7,24.8,0.858,1.5,-1.8,-1.3,53.7,0.1,38.9,14.4,0.97,3.4,1727,16.5,472,119.2,54.2,9.8,44.3,1.9,9.5,0.15,0,0,2.7,11.6,3.9,0.909,2.6,476,12.7,6.9,21.5,0.925,2.6,607,23.2,0,0,0,0,0,0,3.8,45.2,29,6.3,83.2,0.2,15.3,18.1,0.946,2.9,1086,36.3,1.1,0.4,0.7,0.1,5.6,3.8,1.4,273.6,146.6,17.8,61,0.2,0.6,0.983,3.4,1709,43.8,6.4,2828,12.2,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5013.683253,2438,25.3,29.2,0.5,,,,,29.9,42.7,,20.8,18.8,,27.2,,,18.8,2.9,990,0.9,0.3,0.6,0.1,4.4,15.5,1.1,65.4,3.8,0.2,,,,44.3,,,,41.1,,,,,,,,,,,,44.9
ARM-TP2,Arabian Medium,2022-11-17,Y,case013,Saudi Arabia,29.9,2.5,2.3,-30.2,1155,58,0.46,,,1.5,0.565,45.9,0,16.1,0.696,25.5,8.3,0.658,46.1,46.5,0,6.7,0.8,,7.8,0.735,43.7,20.6,0,16.2,0.786,0.1,-43.1,18.9,26.5,18.1,9.7,6.5,-33,21.7,0.855,1.5,-4.7,-4.1,55,0.2,44.4,11.4,0.99,4.3,2258,11.5,2553,126,106.7,26.5,80.2,4.6,13.2,0.29,7.5,0,6.5,11.6,3.2,0.905,2.7,442,11.9,5.9,22.7,0.918,2.6,636,21.5,0,0,0,0,0,0,4,48.7,30.5,6.2,62.8,0.3,13.9,17.6,0.949,3.3,1174,36.2,0.8,0.2,0.5,0,28.2,3.7,1.4,319.6,166.5,18.6,50.5,0.4,0.6,0.976,3.9,1688,43.9,4.9,1191,20.8,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5113.956918,2438,25.3,29.2,0.5,,,,,20.7,28,56,12.6,10.9,,11.8,7.2,24.2,18.6,3.2,1067,0.6,0.2,0.4,0,22.6,16.2,1.1,53,3.8,0.4,,,,72.2,,,,40.7,41.6,,,,,,,,,,,27.5
ATT-T11,Attaka,2016-11-08,Y,case014,Indonesia,39.2,0.1,0.2,-37.3,185,4.8,0.32,,,1.1,0.553,63,0,27.7,0.743,68,9.5,0.695,20,45.8,0,31.2,3,,18.2,0.767,84.1,47.5,0,28.7,0.815,0,-46.7,23.1,18.8,2.3,14.5,14.2,-38.6,30.1,0.866,0.1,0.8,-1.1,47.1,0.1,12.4,15.4,0.964,0.2,1170,43.8,1054,129.8,0.3,0.2,0,1.7,2,1.9,1.7,0,0,11.7,1.8,0.911,0.2,345,15.6,3.9,21.3,0.926,0.2,442,40.4,0,0,0,0,0,0,3.6,75.9,44.1,7.3,27.3,1.1,3.2,16.8,0.954,0.2,798,55,0,0,0,0,0.4,3.3,0.1,1245.4,516.8,29.9,-37.8,2.4,0.1,0.98,0.3,1479,66.2,0.9,119624,3.3,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5216.236056,2438,25.3,29.2,0.5,,,,,35.1,,,,13.7,,,42.7,,17.7,0.2,727,0,0,0,0,0.3,25.4,0.1,-24.8,3.3,2.1,,,,,,,55.2,,5.6,61.1,,,,,,,,,,11.5
AZE-T3,Azeri,2012-10-14,Y,case015,Azerbaizen,36.7,0.1,1.1,-3,1023,13.1,0.37,,,1.8,0.555,63,0,16.2,0.728,53.1,5.7,0.685,34.6,39.7,0,23.6,2.1,,10.5,0.752,66.9,42.4,0,17.7,0.795,0,-41.5,14.3,26.9,17.7,9,8.7,-33.5,28.3,0.844,0.1,0,0.6,58.9,0.4,36.1,22.3,0.92,0.3,2512,36.2,162,107.4,7.7,7,0.8,2.8,3.5,0.33,1.4,0.1,0.3,12.2,3.9,0.881,0.2,494,11.6,7.6,26.7,0.894,0.2,728,30.4,0,0,0,0,0,0,4.2,37.2,24.4,5.7,90.8,0.4,14,23.5,0.913,0.2,1657,46.1,0.2,0.2,0,0.1,246.2,4.1,0.4,173.9,98.3,14.1,71.5,0.4,0.5,0.925,0.3,2827,55,2,392,10.2,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5320.560777,2438,25.3,29.2,0.5,,,,,,,45,,44.1,50.8,,57.2,,24.1,0.2,1471,0.1,0.1,0,0.1,196.9,12.4,0.3,75.4,4.1,0.4,,55.3,11.1,,,41.9,,,,,,15,,,,,,,,
BAD-T5,Badak,2016-10-10,Y,case016,Indonesia,36.7,0.1,1.3,-5,177,3.4,0.17,,,1.7,0.562,63,0,26.6,0.754,77.7,8.4,0.712,16.5,40.2,0,36.8,6.5,,18.2,0.774,90.7,48.3,0,22.9,0.828,0,-17.8,27,14.8,2.3,11.7,11.2,-9.1,30.4,0.893,0.1,5.2,5.8,39.3,0.1,18.5,24.8,0.905,0.2,716,51.6,45,120,1.5,1.5,0,6.7,1.6,0.48,7.9,0,0.3,12.1,2.9,0.884,0.2,403,9.6,6.4,28.4,0.885,0.1,383,42.4,0,0,0,0,0,0,4.5,21.4,15.3,4.7,140.3,0.3,6.3,24.8,0.905,0.1,551,57.5,0.1,0.1,0,0.3,94.4,4.4,0.5,129.2,78.6,13.9,105,0.6,0.2,0.934,0.2,1068,68.2,2.7,929,2.6,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5426.971993,2438,25.3,29.2,0.5,,,,,,,,,,57.7,,6.8,11.9,25.5,0.1,518,0,0,0,0.2,75.5,12.1,0.4,112,4.4,0.6,,,,,,,,,,,,,,,28.5,,,,,
BAK-T3,Bakken,2019-08-25,Y,case017,U.S.A.,43.4,0.1,0.6,-60,272,42,0.03,,,3.8,0.565,45.9,0,27.9,0.717,42.2,11.5,0.676,37.4,45.3,0,15.3,2.1,,16.4,0.746,58.2,35,0,22.8,0.793,0,-51.7,15.9,26,25.7,13,9.8,-42.6,23.9,0.854,0.1,-15.5,-14.8,53.9,0,21.6,21.8,0.923,0.3,1007,6.2,129,116.7,4.3,2.3,2,2.6,2.3,0.09,0,0,0,12,2.8,0.893,0.2,379,14.3,5,24.8,0.905,0.2,477,14.7,0,0,0,0,0,0,4,45.8,29.1,6.2,74.2,0.1,9.7,22.3,0.92,0.2,901,30.7,0.3,0.2,0.1,0.2,20,4,0.5,284,148.6,17,45,0.1,0.3,0.937,0.4,1514,40.2,2.9,1212,3.8,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5535.511433,2438,25.3,29.2,0.5,,,,,,,,,65.5,97.7,,,,22.8,0.2,816,0.3,0.1,0.1,0.1,16,14.8,0.4,50.9,4,0.1,,,,,,,,,35.3,,,,,,,,,,,
BAM-T9,Banoco Arabian Medium,2019-02-23,Y,case018,Saudi Arabia,28.3,2.8,0.4,-15.4,952,52.6,0.04,,,1.3,0.561,45.9,0,13,0.705,31.5,5.7,0.665,35.5,54.1,0,9.1,1.2,,7.2,0.737,47.2,24.3,0,14.4,0.79,0.2,-43.2,20.5,26.8,94.2,7.4,7,-35.2,23.5,0.857,1.8,-3.1,-2.8,54,0,47.8,12.9,0.98,4.4,1755,11.8,1253,125.9,65.9,18.8,47.1,0.7,13,0.02,1.8,0,6.2,11.6,3.7,0.905,3,428,9.9,7,22.1,0.921,2.9,623,20.2,0,0,0,0,0,0,3.9,40,26,5.9,88.1,0,15.5,17.6,0.949,3.6,1041,32.7,0.9,0.3,0.6,0,17.4,3.8,1.3,212.7,118.5,16.2,73.5,0,0.7,0.975,4.2,1444,40.4,5.4,681,21,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5646.221661,2438,25.3,29.2,0.5,,,,,24.4,26.8,,13,13,,21,39.9,,18.5,3.5,957,0.7,0.2,0.5,0,13.9,14.1,1.1,76.4,3.8,0,,,,55.5,,,,44,,,,,,,,,,,,32.9
BAV-T10-PIONAn,Basrah Heavy,2021-05-24,Y,case019,Iraq,23.9,3.7,3.3,-49.8,1652,44,0.24,,,1.8,0.56,45.9,0,14.2,0.702,27.6,6.3,0.661,45.5,46.6,0,7.1,0.8,,7.9,0.735,42.6,24.7,0,14.8,0.791,0.4,-45.8,15.3,27,13,8.4,6.4,-36.4,19.4,0.872,2.4,-7.9,-7.9,47.5,0.2,49.8,6,1.029,5.7,2872,30.2,28172,130.4,197.3,40.7,156.6,5.8,17.6,0.34,7.1,0,12.4,11.4,2.6,0.929,3.9,679,14.2,4.8,18.6,0.943,3.8,922,19.5,0,0,0,0,0,0,3.6,52.1,32.5,6.5,63.6,0.5,14.1,13.9,0.973,4.6,1611,36.7,1.3,0.3,1,0,881.7,3.4,1.6,466.1,230.6,22.1,37.9,0.6,0.6,0.998,5.3,2169,45.2,5.5,2304,27.8,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5759.146095,2438,25.3,29.2,0.5,,,,,13.2,18.1,35,8.6,7.4,,6,7.6,15.3,14.8,4.5,1473,1,0.2,0.8,0,705.4,19,1.3,43,3.4,0.6,14,54.9,11,36.3,,10.4,81.3,29,22.8,,33.2,,64.1,80.4,,,42,,29.9,17.2
BAS-T51-nit,Basrah Light,2020-12-07,Y,case020,Iraq,32.8,2.5,0.8,-42.5,1385,17.9,0.12,,,2.9,0.554,63,0,20,0.705,29.5,8.6,0.669,45.1,42.7,0,10.7,1.4,,11.4,0.733,41.6,23.7,0,16.4,0.785,0.2,-44.5,17.1,25.4,12.5,9.6,6.8,-34.8,19.3,0.856,1.7,-4.7,-3.8,54.1,0,41.3,12,0.986,4.6,2848,14.4,1405,120.9,101,22,79,1.7,12.1,0.6,0,0,3.8,11.7,2.9,0.903,2.8,672,11.5,5.5,22.9,0.916,2.8,790,22.8,0,0,0,0,0,0,4,34,22.3,5.3,79.8,0.2,13.6,17.6,0.949,3.6,1349,38,0.7,0.2,0.4,0,59.5,3.7,1.5,249.3,132.7,16,49.5,1.1,0.6,0.975,4.3,2081,46.2,5.3,1024,18.8,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5874.329016,2438,25.3,29.2,0.5,,,,,22,24.9,35,14.4,12.6,,12.5,,,18.6,3.5,1237,0.5,0.2,0.4,0,47.6,13.9,1.2,55.6,3.8,0.9,,,80.5,89.8,,,,31.4,52.9,,,30.8,,,,,,,,44.1
BMT-T2-PIONAn,Basrah Medium,2021-03-29,Y,case021,Iraq,27.8,3.3,3.1,-50,1317,47.7,0.1,,,2.8,0.551,45.9,0,16.5,0.701,27.5,7.8,0.658,47.1,45.9,0,6.4,0.7,,8.7,0.739,45.2,23.7,0,14.4,0.787,0.3,-49.2,15,28.1,27.7,8,6.4,-40.3,19.9,0.865,2.1,-5.9,-5,50.6,0.1,46.5,8.8,1.009,5.4,2430,16,6297,123.5,145.3,31.3,114.1,5.9,14.8,0.06,11.6,0,9.5,11.5,2.7,0.917,3.5,596,12.8,5.2,20.7,0.93,3.4,781,21.9,0,0,0,0,0,0,3.8,42.8,27.2,5.9,69.5,0.1,14.1,16.1,0.959,4.3,1397,38.1,1.6,0.3,1.3,0.1,578.1,3.6,1.4,396.4,199,20,36.9,0.1,0.7,0.991,5,1964,46.1,5,2326,23.7,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,5991.815597,2438,25.3,29.2,0.5,,,,,16.2,19.8,48,10.9,9.1,,8.3,4.5,14.5,17,4.1,1274,1.3,0.3,1,0.1,462.5,17.2,1.1,43.4,3.7,0.1,20.3,,40.5,27.6,,16.2,97.7,36.8,23.1,,40.7,,,,,,,,,24.1
BYU-T9,Bayu-Undan Condensate,2014-11-07,Y,case022,Australia,63.5,0,0,-48,4,0.3,0,,0,4.6,0.571,45.9,0,63.4,0.69,26.5,39.2,0.658,43.1,49.3,0,6.2,1.4,,24.2,0.741,54.8,34.3,0,18.5,0.785,0,-45.7,17,28.4,0.1,12.3,6.3,-33.7,11.2,0.84,0,1.5,1.5,57.6,0,2.2,32.3,0.864,0.1,90,38,16,79.6,0,0,0,0,0.2,0,,,0,12.4,0.7,0.854,0.1,53,9.7,0.9,32.7,0.862,0.1,77,34.7,0,0,0,0,0,0,5.5,21.1,15.1,4.6,142.2,0,0.5,29.1,0.881,0.1,156,45.8,0,0,0,0,100.2,5.2,0.8,57.7,37.8,8.6,121.7,0,0,0.924,0.2,466,58.1,10,389,0,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,6111.651909,2438,25.3,29.2,0.5,,,,,,,,,,30.9,,,,29.8,0.1,140,0,0,0,0,80.1,7.8,0.7,125.8,5.3,0,,,,,,,,,,,,,,,,,,78.9,,
BCH-T1,Benchamas,2001-10-25,Y,case023,Malaysia,42.5,0,4.8,41.3,327,11.4,0.07,,,1.2,0.552,63,0,19.3,0.717,40.7,7.3,0.678,34.7,47.6,0,13.9,3.9,,12,0.74,52.2,31,0,14.7,0.783,0,-46.1,16.2,27.8,2.1,7.5,7.2,-38.1,25.4,0.821,0,16.3,16.9,71.4,0.1,39.3,31,0.871,0.1,750,54.5,46,85.6,1.4,1.4,0,11.3,2.9,0.11,,,2.7,12.9,3.9,0.831,0,164,7,7.4,37.5,0.837,0,194,44.5,0,0,0,0,0,0,,13.8,10.3,3.7,164.4,0.1,16.2,33.6,0.857,0.1,440,55.8,0,0,0,0.3,519.6,,0.4,40.4,27.7,7.2,143.9,0.1,0.6,0.878,0.1,845,60.6,2,85,11.2,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,6233.884947,2438,25.3,29.2,0.5,,,,,,,,,,18.2,,,5.7,34.4,0.1,391,0,0,0,0.2,415.7,6.5,0.3,148,,0.1,,,,,,18.1,,,,,,,,,35.5,,,,,
BIP-T14,Bintulu Pure,2018-04-03,Y,case024,Malaysia,36.4,0.1,1.3,2.5,217,17.3,0.18,,,1.7,0.57,45.9,0,24.8,0.754,77.4,8,0.706,22.8,37.8,0,33.3,6.1,,16.8,0.777,92.4,52.3,0,22.5,0.829,0,-30,23.8,14.2,11.2,11,11.5,-22.4,30,0.87,0.1,4.1,4.5,46.7,0.1,21,21.4,0.926,0.2,875,48.5,108,108.1,3.3,3.3,0,5.5,4.3,0.6,25.2,0,1.4,11.9,3.4,0.886,0.1,269,10.5,6.8,27.4,0.89,0.1,380,41,0,0,0,0,0,0,4.4,27.8,18.9,4.9,97.4,0.5,7.1,21.9,0.922,0.1,762,56,0.1,0.1,0,0.2,14,3.9,1,156.9,89.3,13.2,70.6,0.8,0.2,0.971,0.2,1360,65.8,5.5,13288,3.5,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,6358.562646,2438,25.3,29.2,0.5,,,,,,,,,,,,2,16.9,23,0.1,686,0.1,0.1,0,0.1,11.2,11.5,0.8,76,4,0.8,,,,,,,,84.4,,,,,,,51.1,16.8,,,71.3,16
BMX-T2,Bitumen Mixture_Exxon(Singapore),2021-09-02,Y,case025,Unknown,11.7,3.9,18.3,-0.5,2741,30,0.21,,,0.1,0.554,45.9,0,0.9,0.707,34.4,0.4,0.67,43.6,41.8,0,13.3,1.3,,0.5,0.74,51.3,30.2,0,15.2,0.797,0,-42.7,15,24.3,17.2,5.8,9.3,-37.7,6.1,0.843,0.8,-23.7,-22.6,51.5,0.1,77.7,4.7,1.039,4.8,3348,46.8,108684,141,168.5,40.2,128.2,22.4,23.6,0.05,10.9,0,10,11.4,0.4,0.919,2.8,810,5.5,0.9,19.6,0.936,2.8,1161,16.3,0,0,0,0,0,0,3.5,13.9,9.9,3,58.2,0.1,10.7,13.3,0.977,3.9,2126,37,2.2,0.2,2,0.3,675.8,3.3,2.2,652.3,308.3,25.6,27.1,0.1,1.4,0.997,4.4,2575,43.8,5.9,1958,64.2,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,6485.733899,2438,25.3,29.2,0.5,,,,,12.1,23.7,27,6,6.5,,7.1,4.8,2.5,14.6,3.7,1933,1.8,0.2,1.6,0.3,540.6,21.1,1.8,33.3,3.3,0.1,57.2,20.5,4.1,19.3,,13.7,69,17.1,15.8,,,,,,57.9,,,,,42.3
BGN-T1,Bonga,2020-03-28,Y,case026,Nigeria,27.7,0.3,1.7,-61.8,1059,6.1,0.08,,,0.9,0.541,63,0,11.6,0.735,63.1,4.5,0.684,37.8,36.9,0,22.7,2.6,,7.1,0.768,85.7,56,0,16,0.828,0.1,-60.3,18.2,19.3,7.9,7.2,8.8,-53.7,36,0.892,0.2,-17.2,-17.2,40.3,0,35.5,15,0.966,0.5,2579,30.3,204,127.5,10,9.3,0.7,4.3,3.2,0.01,2.6,0,0.2,11.5,4.2,0.934,0.3,742,18.7,9.1,17.7,0.948,0.3,1044,18.4,0,0,0,0,0,0,3.1,42.5,30.7,9.3,209.9,0,14.9,15.1,0.965,0.4,2284,36.9,0.4,0.4,0,0.2,169.4,2.9,0.7,332.8,205.6,35.5,152.3,0,0.4,0.979,0.6,4138,48.7,3.9,5243,6.9,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,6615.448577,2438,25.3,29.2,0.5,,,,,32.8,,42,,33.6,,,23.5,27.3,15.6,0.4,2036,0.3,0.3,0,0.1,135.5,30.3,0.6,163.8,3,0,,17.9,3.6,,,66.3,46.7,,,,,11.5,,,90.8,,,,,84.7
BON-T6,Bonny Light,2003-07-03,Y,case027,Nigeria,33.3,0.2,2.9,-5.5,1212,2.4,0.3,,,1.5,0.555,63,0,16.7,0.731,58,6.1,0.683,29.3,45,0,24.2,1.5,,10.6,0.759,75.8,46.9,0,18.7,0.816,0,-56.3,16.2,20.2,2.2,8.7,10.1,-49.6,36.1,0.875,0.1,-2.5,-3.5,46.3,0.2,26.9,17.3,0.951,0.3,3826,41.1,274,117.3,11.1,11.1,0,9.6,3.6,0.7,,,0.2,11.7,4,0.911,0.2,924,18.6,6.7,21.6,0.924,0.2,1438,29.1,0,0,0,0,0,0,3.4,70.8,42.6,7.7,58.9,0.6,10.8,17.6,0.949,0.3,3220,44.2,0.3,0.3,0,0.3,54.4,3.2,0.7,652.7,305,24.7,16.8,0.9,0.3,0.974,0.4,5550,51.7,3.7,4481,5.2,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,6747.757548,2438,25.3,29.2,0.5,,,,,53.5,,22,,26.1,,,,7.1,18.4,0.3,2863,0.2,0.2,0,0.2,43.5,21.3,0.5,25.2,3.2,0.9,,9,1.8,,,,68.1,,12.6,,,4.3,,,26.3,,,,,78
BRA-T4,Brass River,2004-05-11,Y,case028,Nigeria,36,0.1,0.9,-1.9,690,0.5,0.34,,,2.3,0.56,63,0,22.6,0.73,57.7,8.7,0.682,28.3,45.4,0,25,1.2,,13.9,0.76,76.6,47.7,0,19.2,0.812,0,-53.8,15.9,21.9,1.5,9.3,9.9,-46.6,31.7,0.877,0.1,0.8,0.2,44.6,0.2,24.1,18,0.947,0.3,2375,39.9,192,122.6,7,7,0,3.1,2.6,0.82,,,0.1,11.6,3.9,0.918,0.2,702,17.8,7.3,20.8,0.929,0.3,1003,35.7,0,0,0,0,0,0,3.4,74.8,43.7,7.3,31.3,0.8,9.5,17.4,0.95,0.3,2225,52.2,0.3,0.3,0,0.1,30.3,3.2,0.7,950,409.6,26.6,-26.4,1,0.2,0.975,0.4,4378,62.5,4.4,10962,3.2,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,6882.712699,2438,25.3,29.2,0.5,,,,,65.3,,50,,36,,,,77.7,18.1,0.3,1981,0.3,0.3,0,0.1,24.2,22.8,0.6,-14.8,3.3,1,,19.2,3.8,,,,62.5,,6.3,,,7,,,83.4,,,,,
