Feedstock,Feedstock코드,Origin,SHFT 영향성,API,Sulfur %,Nitrogen ppm,MCRT wt. %,Ni ppm,V ppm,Na ppm,Fe ppm,Ca ppm,ASP(C7) wt. %,V(100) cSt.
Pluto,PLT,Australia,1.3544071802522477,14.7,0.2,1046.0,14.8,0.3,1.0,18.584466019417476,0.0,16.793203883495146,0.5,179.0
N'Kossa Blend,NKB,Congo,1.342691190377553,16.2,0.3,3211.0,9.0,43.7,9.7,36.0,13.9,38.7,2.1,172.0
Sarir/Messla,SMB,Libya,1.332693935421118,11.3,0.3,3164.0,22.0,16.6,1.2,0.0,0.6,0.0,3.6,11373.0
Premium Albin Heavy Synthetic,PAS,Canada,1.3286003668465807,15.4,0.7,3249.0,4.9,2.1,0.5,18.584466019417476,9.6,16.793203883495146,0.0,143.0
Te Giac Trang,TEG,Vietnam,1.3249843895296431,15.3,0.3,5051.0,14.8,44.1,0.4,33.7,12.9,25.0,0.1,517.0
Purovsky Gas Condensate,PGC,Russia,1.3246333966503456,14.5,0.3,1911.0,15.2,9.6,3.7,18.584466019417476,0.4,16.793203883495146,1.1,153.0
Thammama Condensate,TMC,U.A.E.,1.3079116613465929,15.6,2.4,901.0,10.5,19.3,7.9,18.584466019417476,16.2,16.793203883495146,2.7,756.0
Duri,DUR,Indonesia,1.300343251589685,12.1,0.3,5240.0,18.3,98.7,2.4,8.3,11.5,0.1,1.2,3552.0
Tengiz,TGZ,Kazakhstan,1.2919695910831426,15.2,1.7,2108.0,9.3,6.0,3.9,18.584466019417476,16.5,16.793203883495146,0.8,177.0
Gas Condensate,GSC,Kuwait,1.290175584109233,14.8,1.2,1869.0,9.3,3.7,10.1,18.584466019417476,9.6,16.793203883495146,2.0,256.0
Martin Linge,MTL,Norway,1.2859559082385759,13.6,0.5,2577.0,13.0,19.7,4.8,18.584466019417476,14.7,16.793203883495146,0.4,589.0
Tangguh Condensate,THC,Indonesia,1.285347969056166,13.6,0.4,726.0,20.7,0.0,0.1,18.584466019417476,0.2,16.793203883495146,0.1,481.0
Sakhalin Blend,SAK,Russia,1.2689012301122258,6.2,1.0,6906.0,21.1,63.7,16.1,19.8,118.2,0.1,6.1,9646.0
Palanca,PAL,Angola,1.2685098103603325,13.2,0.5,4631.0,12.1,17.8,15.2,18.584466019417476,25.5,16.793203883495146,0.7,362.0
DJ Common,DJC,U.S.A.,1.2598928327691785,14.8,2.6,2488.0,10.1,22.7,71.7,2.2,2.0,1.2,4.0,637.0
Pearl Condensate,PLC,Qatar,1.2339320861230103,15.4,1.6,2194.0,6.7,3.1,0.1,18.584466019417476,2.0,16.793203883495146,0.1,172.0
Stybarrow,STY,Australia,1.2331039837004354,11.2,0.3,5082.0,9.4,17.0,2.5,18.584466019417476,51.3,16.793203883495146,2.5,276.0
North West Shelf Condensate,NWS,Australia,1.2075634021538377,10.7,0.4,2544.0,15.2,8.9,0.3,18.584466019417476,42.0,16.793203883495146,2.7,469.0
Dolphin Condensate,LSC,Qatar,1.1990315066343515,13.1,2.8,1903.0,15.1,15.8,7.7,18.584466019417476,49.6,16.793203883495146,1.3,156.0
Alvheim,ALV,Norway,1.177146566286959,12.8,0.7,3349.0,9.6,7.7,8.1,11.3,6.8,10.0,0.1,164.0
Bintulu Pure,BIP,Malaysia,1.1764513363807922,4.8,0.3,2386.0,20.6,17.6,0.0,127.4,28.8,40.2,7.5,671835.0
Zhao Dong,ZHD,China,1.1674597226190717,12.2,0.4,5921.0,12.5,31.8,0.2,18.584466019417476,17.8,16.793203883495146,2.9,494.0
Djeno,DJE,Congo,1.1358727835671862,9.3,0.6,6393.0,19.2,120.5,39.4,12.7,25.5,8.7,7.2,9530.0
Shabwah,SBW,Yemen,1.0995458627492694,9.4,0.6,3786.0,16.3,26.4,9.7,6.2,19.9,0.8,1.6,2549.0
Varanus,VAR,Australia,1.0805684752301117,11.0,0.3,3298.0,9.8,21.1,0.3,18.584466019417476,14.7,16.793203883495146,2.2,502.0
Bula,BUL,Indonesia,1.0780809541571637,0.5,5.0,1438.0,16.5,11.8,14.6,18.584466019417476,59.3,16.793203883495146,1.8,899845.0
Girassol,GRS,Angola,1.0707501771649055,10.7,0.8,6117.0,16.3,59.1,23.7,23.2,15.8,3.4,2.9,1813.0
CPC Blend,CPB,Kazakhstan,1.0613878492995221,14.9,1.7,2366.0,12.7,16.2,6.6,51.1,50.9,85.4,1.3,68.0
Cossack,COS,Australia,1.0592247206281482,11.8,0.3,4744.0,9.9,25.4,0.1,18.584466019417476,0.8,16.793203883495146,1.7,404.0
Sleipner Condensate,SNC,Norway,1.058722336143145,10.2,0.3,1270.0,14.8,16.1,1.2,18.584466019417476,13.0,16.793203883495146,2.6,465.0
Sapinhoa,SPH,Brazil,1.0535557307893495,10.1,0.8,5933.0,14.7,48.4,43.4,15.4,11.0,1.4,2.5,4448.0
Stag,STG,Australia,1.0448147730376336,8.6,0.3,3479.0,9.8,28.7,0.1,18.584466019417476,43.9,16.793203883495146,0.8,3532.0
Agbami,AGB,Nigeria,1.0424748159207802,9.3,0.4,5194.0,15.8,72.8,1.4,18.584466019417476,36.4,16.793203883495146,2.2,979.0
Nemba,NEM,Angola,1.0342133715181914,8.0,1.1,6503.0,19.8,115.3,85.2,0.9,26.8,1.4,7.1,5927.0
ESPO,EAS,Russia,1.033264293914033,12.0,1.3,4080.0,12.8,33.7,39.9,34.2,15.5,15.8,2.2,838.0
Tuapse SRFO,T$S,Russia,1.0199982102775433,8.8,2.7,4748.0,19.1,75.7,290.6,18.3,56.6,2.6,8.4,2795.0
Troll,TRO,North Sea,1.0103382354201522,12.1,0.7,4104.0,12.4,17.7,5.2,53.4,14.8,15.3,0.1,654.0
