구분,,,,,,Crude,,,,,,,,,LPG,,,,WSR,,,LSR,,,,,,,,HSR,,,,,Kero,,,,,,,LKD,HKD,,Diesel,,,,,,,RC,,,,,,,,,,,,,,,,,,LLVGO,,,,,LVGO,,,,,,,,,,,,,,,,,,HVGO,,,,,,,,,,,,,,,,,,HHVGO,,,,,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFCC Max Blending Ratio,,,,,,,,,HCR Feed VGO,,,,,,,,,,,,,HCR Feed Max Blending Ratio,,,,,,,,,,VRHCR Max Blending Ratio,,,,,,,,,
Assay ID,Feedstock,채취일,공식Assay 여부,Feedstock코드,Origin,API,Sulfur wt. %,Fe ppm,P/P ℃,Nitrogen ppm,Mercaptan ppm,TAN mg KOH/g,Cl ppm,Salt PTB,Yield vol. %,SG,RVP psi,Mercaptan ppm,Yield %,SG,N+2A %,Yield %,SG,N-Paraffines %,I-Paraffines %,Olefines %,Naphthenes %,Aromatics %,CS2 wtppm,Yield %,S.G,N+2A %,Naphthenes %,Nitrogen ppm,Yield %,S.G,Sulfur %,Freeze Point ℃,Aromatics %,Smoke Point mm,Mercaptan ppm,Yield %,Yield %,Freeze Point ℃,Yield %,S.G,Sulfur %,C/P ℃,P/P ℃,Cetane Index,TAN mg KOH/g,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,V(50) cSt.,N+2A %,Ni+V ppm,Ni ppm,V ppm,Fe ppm,MCRT wt. %,TAN mg KOH/g,Na ppm,Copper ppm,ASP(C7) wt. %,UOPK,Yield %,S.G,Sulfur %,Nitrogen ppm,V(50) cSt.,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,MCRT wt. %,VK,V(40) cSt.,V(50) cSt.,V(100) cSt.,VI,TAN mg KOH/g,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,VK,MCRT %,V(40) cSt.,V(50) cSt.,V(100) cSt.,VI,TAN mg KOH/g,Yield %,S.G,Sulfur %,Nitrogen ppm,P/P ℃,MCRT wt. %,V(50) cSt.,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,MCRT wt. %,Ni+V ppm,Ni ppm,V ppm,SEDEX,TAN mg KOH/g,Na ppm,Copper ppm,Fe ppm,Ca ppm,Mg ppm,Ca+Mg+Fe ppm,Parrafines %,Aromatics %,ASP(C7) wt. %,Resin %,CII (SARA),V(50) cSt.,V(70) cSt.,V(100) cSt.,V(110) cSt.,VR/AR %,MCRT/S Ratio,S/N Ratio,SARA Saturates wt. %,SARA Asphaltene wt. %,SARA Resin wt. %,SARA Aromatics wt. %,API,Sulfur %,Nitrogen ppm,MCRT %,V(50) (Feed 85kbd) cSt.,UOPK,Ni+V ppm,Na ppm,Fe ppm,API,Sulfur wt. %,Nitrogen ppm,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,V(100) cSt.,MCRT wt. %,VI,VK Factor,TAN mg KOH/g,Sulfur %,Nitrogen (단기) %,Nitrogen (장기) %,Ni+V %,Fe %,ASP(C7) %,V(100) %,MCRT %,VI %,TAN %,Sulfur %,Nitrogen %,MCRT %,Ni+V %,Fe %,Na %,ASP(C7) %,CII (SARA) %,SEDEX %,V(100) %
BAV-T10-PIONAn,Basrah Heavy,2021-05-24,Y,BAV,Iraq,23.9,3.7,3.3,-49.8,1652,44,0.24,,,1.8,0.56,45.9,0,14.2,0.702,27.6,6.3,0.661,45.5,46.6,0,7.1,0.8,,7.9,0.735,42.6,24.7,0,14.8,0.791,0.4,-45.8,15.3,27,13,8.4,6.4,-36.4,19.4,0.872,2.4,-7.9,-7.9,47.5,0.2,49.8,6,1.029,5.7,2872,30.2,28172,130.4,197.3,40.7,156.6,5.8,17.6,0.34,7.1,0,12.4,11.4,2.6,0.929,3.9,679,14.2,4.8,18.6,0.943,3.8,922,19.5,0,0,0,0,0,0,3.6,52.1,32.5,6.5,63.6,0.5,14.1,13.9,0.973,4.6,1611,36.7,1.3,0.3,1,0,881.7,3.4,1.6,466.1,230.6,22.1,37.9,0.6,0.6,0.998,5.3,2169,45.2,5.5,2304,27.8,-0.7,1.082,6.6,3927,107.1,29.2,335.7,69.3,266.4,0.9,0.2,12.2,0,9.8,12.7,2.9,25.4,5.5,49.8,21,23.7,0.4,1375702181,26399723,355480,116067,55.8,4.4,13.6,,,,,13.2,18.1,35,8.6,7.4,,6,7.6,15.3,14.8,4.5,1473,1,0.2,0.8,0,705.4,19,1.3,43,3.4,0.6,14,54.9,11,36.3,,10.4,81.3,29,22.8,,33.2,,64.1,80.4,,,42,,29.9,17.2
QAH-TP1r,Qaiyarah,2023-10-06,Y,QAH,Iraq,14.9,7.3,0.5,-25,1420,396.2,1.11,,,1.4,0.559,63,0,9.5,0.692,26.4,5.5,0.652,37.7,56.4,0,5.5,0.3,,4.1,0.745,53.7,28.7,0,8.6,0.8,0.9,-51.8,16.1,22.7,657.5,5,3.6,-42.2,16.5,0.878,3.1,-8.6,-8.5,46.5,0.3,64,3.2,1.05,9.6,1993,31.7,459204,132.3,144.9,39.9,105,0.7,22.4,1.39,2.4,0,20.3,11.1,3.1,0.923,4.5,514,14.1,6.1,20.2,0.933,4.4,559,17.7,0,0,0,0,0,0,3.9,60.8,36.8,6.8,48,1,18.5,12.8,0.98,5.5,948,35.5,0.7,0.3,0.4,0,482.9,3.5,2.1,897.2,385,24.9,-39.6,2.8,1,1.017,7.3,1495,44,6.9,52506,35.3,-5.1,1.12,12.6,2799,112.2,37,245.9,67.7,178.2,0.6,0.8,3.1,0,1.2,3.6,0,4.8,6.2,54.1,34.5,5.1,0.7,8.66E+15,3.35E+12,888862871,111698298,55.2,2.9,26.1,,,,,11.1,9.2,75,6.4,5.8,,8.3,27,,14.3,5.3,870,0.6,0.2,0.3,0,386.4,21.3,1.7,-22.1,3.6,2.5,7.9,,,83.6,,19.6,68.1,18.3,5.7,50.9,3.6,,19.7,,,,11.7,24.8,,9.9
URL-T6-nit,Urals,2021-02-22,Y,URL,Russia,29.8,1.5,3.1,-17.9,1580,88.5,0,,,1.7,0.549,63,0,15,0.712,38.4,6.1,0.67,34.8,50.8,0,12.9,1.4,,8.8,0.742,54.1,33.7,0,14.6,0.796,0.2,-56.7,16.6,25.9,14.5,7.4,7.2,-48.9,23.1,0.861,1.1,-6,-6,51.9,0.1,45.7,14.2,0.971,2.5,3044,8.5,1242,124.7,152.6,38.8,113.8,6.2,9.9,0.2,4.7,0,3.5,11.8,3.4,0.901,1.7,677,12.9,6.6,23.4,0.913,1.7,1011,22.2,0,0,0,0,0,0,3.9,38.6,25,5.7,77.7,0.2,15.3,19.1,0.939,2.1,1942,38.3,2.1,0.5,1.6,0.1,2.8,3.7,0.8,298.9,156.9,18,51.6,0.3,0.7,0.967,2.4,2787,46.7,3.5,1368,19.8,6.2,1.028,3.1,4782,77.4,20.8,330.9,84.1,246.8,0.6,0.2,8.5,0,13.3,9.6,0,23,4.5,53.5,7.5,34.4,0.1,1904726,147145,8648,4103,43.3,6.7,5,,,,,28.9,91.5,32,19.6,13.1,,7.9,12,13.7,20,2,1756,1.7,0.4,1.3,0.1,2.3,15.5,0.7,56.8,3.7,0.3,,27,5.4,19.9,,,,,61.2,,,27.2,,85.6,,,,,,43.3
